NOMBRE;PRECIO;PANTALLA;DISCO;CPU;MEMORIA;VALORACION
"ASUS VivoBook 15 Laptop Computer, 15.6"" FHD Display, AMD Ryzen 5 4600H Hexa-Core Up to 4.0 GHz, 8GB RAM DDR4, 512GB PCIe SSD, Blacklit, Fingerprint, Webcam, Type-C, US Version KB, Win11 Pro";1.912,20;15.6;SSD;3;8;3.9
"Desconocido GIGABYTE PORTATIL A7 X1-CES1130SH,AMD R9-5900HX,16GB,SSD 512GB,17.3"" 144Hz FHD,VGARTX3070P/8GB,NO ODD,W10HOME";118,88;17.3;SSD;4;8;4.3
Laptop, 2560x1600 FHD Pantalla Laptop Rotación de 360 Grados Luz Tipo C Puerto de Carga con Lápiz óptico para Viajes en el Hogar (8+512G Enchufe de la UE);55,87;10.8;[];[];8;4.3
Thinlerain Monitor portátil de 15 pulgadas, 1920 x 1080p, monitor de pantalla para laptop, computadora, altavoces integrados;1.164,99;15;[];[];[];
"STM Bags Dux Case STM-122-262M-01 - Funda para Microsoft Surface Laptop 2 y 3 (13,5"") [Soporte Surface Pen, Parte Trasera Transparente, Patas de Goma, diseño para Surface]";267,44;15.6;[];[];[];
Acogedor Laptop de Oro Rosa de 15.6 Pulgadas, LPDDR4 16GB RAM 128G ROM 1920x1080 HD Pantalla Grande, Intel N5095 2.0GHz Quad Core Quad Thread, con Desbloqueo Ingerprint;929;14.4;[];[];1;
Microsoft Compatible Surface Laptop Studio Core i5/16GB/256GB/Intel I;198,95;15.6;[];[];8;
"SAMSUNG Galaxy Book3 - Laptop 15,6"" FullHD + Microsoft 365 Personal";940,36;15.6;SSD;3.3;1;
"MSI Sword 15 Gaming Laptop, 15.6"" FHD IPS 144Hz, 12th Gen Intel 8-Core i5-12450H, RTX 3050, 16GB DDR4, 1TB PCIe SSD, Cooler Boost 5, Backlit, RJ45, USB-C, WiFi 6, US Version KB, Win 11";372,01;15.6;[];[];4;
Samsung Chromebook 4+ - Laptop 64GB, 4GB RAM, Silver Titan;2.444,99;10.8;[];[];8;
